#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -120.020   -127.790    -28.240    173.930     91.530
      0.100   -101.002   -102.202   -118.165    -20.608    182.428    100.971
      0.200   -102.583    -83.521   -107.533    -11.001    191.192    111.667
      0.300   -103.070    -63.962    -95.758      1.253    199.980    123.839
      0.400   -102.153    -43.549    -82.681     17.092    208.278    137.691
      0.500    -99.410    -22.384    -68.133     37.768    215.041    153.275
      0.600    -94.285     -0.719    -51.961     64.738    218.258    170.162
      0.700    -86.101     20.916    -34.116     98.946    214.428    186.731
      0.800    -74.216     41.583    -14.818    138.749    198.911    199.230
      0.900    -58.415     59.999      5.265    177.261    169.415    202.436
      1.000    -39.314     75.040     25.061    204.767    131.408    193.485
      1.100    -18.174     86.319     43.601    218.034     94.169    177.324
      1.200      3.754     94.174     60.423    220.530     62.924    159.099
      1.300     25.621     99.240     75.463    216.804     38.393    141.718
      1.400     46.961    102.133     88.858    209.988     19.481    126.184
      1.500     67.552    103.350    100.798    201.837      4.854    112.611
      1.600     87.307    103.263    111.469    193.261     -6.587    100.802
      1.700    106.206    102.151    121.034    184.716    -15.658     90.493
      1.800    124.262    100.221    129.630    176.416    -22.946     81.433
      1.900    141.506     97.630    137.372    168.456    -28.872     73.409
      2.000    157.972     94.499    144.355    160.868    -33.740     66.249
      2.100    173.698     90.924    150.658    153.651    -37.775     59.811
      2.200    188.720     86.978    156.347    146.789    -41.143     53.982
      2.300    203.072     82.722    161.480    140.260    -43.971     48.672
      2.400    216.787     78.206    166.104    134.039    -46.356     43.806
      2.500    229.894     73.469    170.260    128.099    -48.372     39.322
      2.600    242.420     68.547    173.985    122.418    -50.081     35.172
      2.700    254.390     63.466    177.309    116.973    -51.528     31.313
      2.800    265.825     58.252    180.261    111.743    -52.751     27.710
      2.900    276.748     52.926    182.863    106.709    -53.783     24.334
      3.000    287.176     47.504    185.138    101.855    -54.647     21.160
      3.100    297.127     42.003    187.104     97.165    -55.366     18.166
      3.200    306.617     36.437    188.779     92.626    -55.955     15.334
      3.300    315.659     30.818    190.178     88.224    -56.431     12.648
      3.400    324.268     25.156    191.315     83.948    -56.805     10.093
      3.500    332.455     19.462    192.203     79.787    -57.088      7.659
      3.600    340.231     13.743    192.852     75.734    -57.288      5.334
      3.700    347.606      8.008    193.274     71.778    -57.413      3.109
      3.800    354.591      2.264    193.479     67.911    -57.470      0.976
      3.900    361.193     -3.483    193.474     64.128    -57.463     -1.074
      4.000    367.420     -9.226    193.268     60.420    -57.398     -3.046
      4.100    373.280    -14.960    192.868     56.782    -57.280     -4.946
      4.200    378.780    -20.679    192.282     53.208    -57.110     -6.780
      4.300    383.925    -26.380    191.515     49.693    -56.893     -8.552
      4.400    388.721    -32.056    190.574     46.231    -56.632    -10.267
      4.500    393.173    -37.704    189.465     42.819    -56.327    -11.929
      4.600    397.287    -43.319    188.191     39.451    -55.982    -13.541
      4.700    401.066    -48.898    186.759     36.124    -55.598    -15.106
      4.800    404.514    -54.437    185.172     32.834    -55.176    -16.628
      4.900    407.634    -59.932    183.435     29.577    -54.717    -18.110
      5.000    410.431    -65.379    181.552     26.350    -54.223    -19.552
      5.100    412.906    -70.774    179.526     23.149    -53.693    -20.959
      5.200    415.062    -76.116    177.362     19.971    -53.129    -22.332
      5.300    416.901    -81.399    175.062     16.813    -52.532    -23.672
      5.400    418.425    -86.620    172.629     13.672    -51.900    -24.982
      5.500    419.636    -91.777    170.067     10.544    -51.234    -26.264
      5.600    420.534    -96.865    167.378      7.428    -50.534    -27.518
      5.700    421.122   -101.882    164.564      4.320    -49.800    -28.747
      5.800    421.399   -106.824    161.629      1.218    -49.032    -29.951
      5.900    421.365   -111.687    158.575     -1.882    -48.228    -31.131
      6.000    421.022   -116.467    155.404     -4.982    -47.389    -32.289
      6.100    420.369   -121.163    152.119     -8.085    -46.512    -33.426
      6.200    419.405   -125.768    148.720    -11.193    -45.598    -34.542
