#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.049   -102.237   -118.018    -20.554    181.147    102.001
      0.200   -102.614    -83.755   -107.324    -10.740    188.486    111.892
      0.300   -103.069    -64.547    -95.575      1.644    195.671    123.079
      0.400   -102.113    -44.655    -82.636     17.469    202.174    135.705
      0.500    -99.345    -24.197    -68.362     37.885    206.985    149.766
      0.600    -94.238     -3.436    -52.632     64.253    208.227    164.833
      0.700    -86.146     17.108    -35.418     97.602    202.668    179.456
      0.800    -74.417     36.529    -16.931    136.978    185.752    190.292
      0.900    -58.733     53.520      2.191    176.705    154.060    192.138
      1.000    -39.570     66.772     20.823    206.554    110.984    180.500
      1.100    -18.222     75.636     37.815    220.394     66.284    159.352
      1.200      3.815     80.324     52.514    220.356     27.488    134.620
      1.300     25.413     81.537     64.766    211.605     -3.238    110.416
      1.400     45.908     80.040     74.708    198.283    -26.693     88.420
      1.500     64.965     76.486     82.577    182.863    -44.399     68.972
      1.600     82.441     71.379     88.620    166.660    -57.737     51.888
      1.700     98.291     65.104     93.057    150.335    -67.764     36.845
      1.800    112.518     57.953     96.075    134.198    -75.247     23.519
      1.900    125.146     50.154     97.832    118.380    -80.738     11.630
      2.000    136.212     41.886     98.461    102.922    -84.629      0.947
      2.100    145.748     33.294     98.073     87.813    -87.205     -8.713
      2.200    153.790     24.500     96.762     73.023    -88.670    -17.499
      2.300    160.367     15.608     94.611     58.509    -89.175    -25.529
      2.400    165.503      6.708     91.690     44.222    -88.828    -32.896
      2.500    169.220     -2.119     88.061     30.112    -87.708    -39.680
      2.600    171.532    -10.798     83.780     16.123    -85.870    -45.943
      2.700    172.448    -19.259     78.896      2.195    -83.349    -51.740
      2.800    171.970    -27.434     73.453    -11.744    -80.157    -57.117
      2.900    170.094    -35.257     67.491    -25.773    -76.286    -62.112
      3.000    166.806    -42.656     61.048    -39.991    -71.699    -66.752
      3.100    162.081    -49.557     54.158    -54.506    -66.325    -71.051
      3.200    155.884    -55.876     46.855    -69.449    -60.050    -75.007
      3.300    148.163    -61.514     39.175    -84.966    -52.708    -78.591
      3.400    138.853    -66.352     31.159   -101.228    -44.055    -81.741
      3.500    127.870    -70.242     22.854   -118.432    -33.745    -84.341
      3.600    115.109    -72.992     14.328   -136.798    -21.269    -86.189
      3.700    100.441    -74.349      5.672   -156.564     -5.868    -86.931
      3.800     83.716    -73.961     -2.970   -177.929     13.625    -85.905
      3.900     64.779    -71.329    -11.342   -200.813     39.021    -81.539
      4.000     43.523    -65.716    -19.005   -224.302     73.238    -71.713
      4.100     20.079    -56.022    -25.165   -244.577    120.642    -51.494
      4.200     -4.569    -40.770    -28.321   -248.378    184.398    -11.624
      4.300    -27.203    -19.210    -26.241   -204.309    246.813     53.231
      4.400    -43.033      5.900    -18.159   -112.295    255.386    108.391
      4.500    -50.241     29.605     -6.375    -31.855    218.699    127.293
      4.600    -50.727     49.111      6.189     22.131    171.431    124.000
      4.700    -46.769     63.971     17.958     57.017    125.771    111.370
      4.800    -39.930     74.435     28.274     79.769     83.514     94.950
      4.900    -31.229     80.826     36.842     94.259     44.297     76.410
      5.000    -21.388     83.412     43.478    102.559      7.421     56.315
      5.100    -10.972     82.393     48.032    105.767    -27.803     34.758
      5.200     -0.464     77.897     50.344    104.377    -62.110     11.496
      5.300      9.665     69.971     50.211     98.215    -96.406    -14.160
      5.400     18.875     58.566     47.326     85.976   -131.708    -43.547
      5.500     26.383     43.540     41.201     64.189   -168.806    -78.957
      5.600     30.808     24.758     31.042     24.316   -206.838   -124.221
      5.700     29.203      2.694     15.639    -56.420   -234.428   -183.825
      5.800     15.712    -17.666     -4.881   -213.400   -172.780   -226.587
      5.900     -6.534    -28.367    -22.977   -231.529    -41.235   -135.326
      6.000    -27.361    -29.176    -32.997   -184.993     25.049    -65.075
      6.100    -43.146    -24.917    -36.985   -130.714     60.129    -14.680
      6.200    -53.450    -17.953    -36.504    -75.364     79.162     24.299
      6.300    -58.153     -9.619    -32.489    -18.696     87.509     55.992
      6.400    -57.037     -0.881    -25.552     41.019     87.250     82.753
      6.500    -49.535      7.365    -16.090    109.005     77.675    106.493
      6.600    -34.215     13.721     -4.456    197.394     49.440    126.180
      6.700     -7.731     13.811      6.926    332.295    -47.633    101.452
      6.800     20.057      1.506      8.123    223.465   -198.469    -77.506
      6.900     34.796    -16.058     -0.825     71.323   -152.808   -101.447
      7.000     37.375    -28.266     -9.920    -19.745    -91.358    -80.465
      7.100     32.244    -34.173    -16.358    -82.887    -26.779    -48.284
      7.200     21.635    -33.333    -19.074   -129.282     43.577     -6.039
      7.300      6.942    -24.525    -16.610   -164.586    132.584     55.324
      7.400     -8.793     -3.233     -4.061   -150.106    293.254    195.641
      7.500    -14.301     19.451     11.040     39.930    160.424    106.393
      7.600     -7.942     29.546     17.841     87.252     41.473     29.627
      7.700      0.938     28.146     17.183     90.362    -69.468    -42.800
      7.800      8.120     14.730      8.560     53.264   -198.850   -129.659
      7.900     -5.836    -18.236    -15.513   -332.374   -460.468   -351.793
      8.000    -37.369    -61.236    -48.197   -298.278   -399.543   -301.896
      8.100    -66.390    -99.957    -77.420   -282.160   -374.859   -282.549
      8.200    -94.130   -136.747   -105.136   -272.630   -360.943   -271.785
      8.300   -121.074   -172.387   -131.966   -266.257   -351.859   -264.806
      8.400   -147.470   -207.250   -158.200   -261.663   -345.404   -259.867
      8.500   -173.462   -241.548   -184.001   -258.176   -340.555   -256.166
      8.600   -199.143   -275.414   -209.473   -255.431   -336.764   -253.279
      8.700   -224.574   -308.938   -234.685   -253.208   -333.712   -250.958
      8.800   -249.803   -342.183   -259.686   -251.368   -331.197   -249.047
      8.900   -274.863   -375.197   -284.510   -249.818   -329.085   -247.445
      9.000   -299.778   -408.016   -309.186   -248.493   -327.285   -246.080
      9.100   -324.570   -440.666   -333.736   -247.346   -325.731   -244.903
      9.200   -349.255   -473.172   -358.175   -246.343   -324.375   -243.875
      9.300   -373.845   -505.549   -382.517   -245.458   -323.180   -242.971
      9.400   -398.351   -537.814   -406.774   -244.671   -322.119   -242.169
      9.500   -422.783   -569.979   -430.955   -243.966   -321.170   -241.451
      9.600   -447.148   -602.053   -455.068   -243.330   -320.317   -240.805
      9.700   -471.452   -634.046   -479.119   -242.755   -319.544   -240.221
      9.800   -495.701   -665.965   -503.115   -242.231   -318.841   -239.690
      9.900   -519.900   -697.817   -527.059   -241.751   -318.199   -239.205
     10.000   -544.053   -729.608   -550.958   -241.311   -317.610   -238.760
     10.100   -568.164   -761.342   -574.813   -240.906   -317.067   -238.350
